iter	Passed	Remaining
525	27881	25125
526	27933	25071
527	27973	25007
528	28024	24951
529	28060	24884
530	28100	24819
531	28136	24751
532	28188	24697
533	28239	24643
534	28296	24593
535	28347	24539
536	28389	24477
537	28439	24422
538	28492	24369
539	28544	24315
540	28611	24275
541	28663	24220
542	28704	24158
543	28738	24089
544	28780	24027
545	28814	23959
546	28856	23897
547	28923	23856
548	28991	23816
549	29060	23776
550	29111	23722
551	29145	23654
552	29210	23611
553	29253	23550
554	29315	23505
555	29372	23455
556	29465	23434
557	29534	23394
558	29616	23364
559	29694	23331
560	29745	23276
561	29797	23222
562	29838	23160
563	29881	23099
564	29945	23055
565	30010	23011
566	30077	22969
567	30140	22923
568	30195	22872
569	30244	22815
570	30309	22771
571	30349	22709
572	30414	22664
573	30466	22611
574	30508	22549
575	30554	22491
576	30582	22420
577	30634	22366
578	30693	22317
579	30730	22252
580	30771	22191
581	30831	22143
582	30896	22099
583	30949	22046
584	31015	22002
585	31065	21947
586	31106	21885
587	31171	21841
588	31237	21797
589	31285	21741
590	31338	21687
591	31390	21634
592	31444	21581
593	31506	21534
594	31561	21483
595	31608	21426
596	31673	21380
597	31726	21327
598	31772	21270
599	31844	21229
600	31913	21187
601	31976	21140
602	31985	21058
603	32028	20998
604	32061	20932
605	32121	20884
606	32163	20823
607	32205	20763
608	32235	20696
609	32315	20660
610	32367	20607
611	32435	20563
612	32503	20519
613	32539	20456
614	32589	20401
615	32630	20341
616	32692	20293
617	32744	20240
618	32795	20186
619	32858	20138
620	32892	20074
621	32944	20020
622	32996	19967
623	33050	19914
624	33102	19861
625	33144	19801
626	33184	19741
627	33252	19697
628	33315	19650
629	33382	19605
630	33424	19546
631	33476	19492
632	33524	19436
633	33557	19372
634	33616	19323
635	33668	19269
636	33719	19215
637	33756	19153
638	33822	19107
639	33874	19054
640	33893	18982
641	33946	18929
642	33972	18861
643	34024	18808
644	34091	18763
645	34128	18702
646	34169	18642
647	34236	18597
648	34291	18545
649	34358	18500
650	34419	18452
651	34472	18399
652	34525	18346
653	34568	18288
654	34635	18243
655	34669	18180
656	34721	18127
657	34783	18079
658	34837	18026
659	34904	17981
660	34947	17923
661	34983	17861
662	35024	17802
663	35079	17751
664	35131	17698
665	35173	17639
666	35223	17585
667	35288	17538
668	35341	17485
669	35406	17439
670	35476	17394
671	35513	17334
672	35579	17287
673	35632	17234
674	35673	17176
675	35703	17112
676	35765	17063
677	35833	17018
678	35899	16971
679	35942	16914
680	35994	16860
681	36054	16811
